,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_RS,syn_RS,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YBR255W,3.1355,4.9558,7.6425,2.9704,-0.83388,2.0281,-1.7661,3.8286,0.34,-2.2769,-7.1,-7.1,-8.7,-11.6,-1.6094,-0.61669,-14.1,-6.9132,33.2
YPL144W,3.2581,4.9053,6.1026,4.2268,-0.061099,4.1239,-3.2702,4.4387,0.29,-2.0047,-6.6,-6.6,-9.6,-7.9,-1.6094,-0.5838,-14.9,-8.3538,26.9
YBR135W,3.2958,5.3471,6.1159,4.4229,0.36122,2.4596,-1.0936,5.1571,0.39,-2.0996,-6.5,-6.5,-2,-2.1,-1.6094,-0.34927,-24.8,-10.6,29.2
YBR160W,4.3567,4.5326,6.7991,4.2129,0.29425,2.5572,-1.5896,5.7662,0.4,-1.9317,2.9,-5.3,-0.6,-6.4,0.18232,-0.56815,-14.2,-9.1929,31
YJL082W,3.6636,5.3799,7.6944,3.9232,-0.5253,2.0541,-0.32021,5.24,0.39,-2.2547,-10.1,-9.1,-4,-1.2,-1.6094,-0.57454,-19,-8.3625,37.2
YKL074C,3.1355,4.2905,7.3677,3.2921,-0.12328,2.1282,-1.7898,4.1352,0.37,-2.3167,-6.1,-6.1,-6.8,-3,-1.6094,-0.57332,-15.1,-7.702,39
YGL141W,2.0794,4.5539,7.9132,3.3193,-0.48605,2.1633,-1.6983,3.989,0.38,-2.3086,-8.6,-8.6,-9.8,-7.3,-1.6094,-0.56677,-16.2,-7.3479,32.5
YKL029C,3.8067,4.7185,7.6059,5.1753,-0.032645,2.23,-0.57093,6.7938,0.44,-1.273,-10.3,-5.1,-7.2,-5.3,0.18232,-0.39715,-23.2,-10.128,27.8
YKL052C,2.9957,3.6889,6.7788,3.8104,-0.29353,2.3702,-1.5141,4.4924,0.33,-1.1129,-1.7,-1.7,1.7,-2,-1.6094,-0.41606,-18.5,-9.1357,39.2
YHR025W,3.4012,4.3694,6.9791,5.6648,0.16617,2.5953,0.042101,6.8683,0.45,-2.7806,-5.9,-5.9,-7,-9.5,-1.6094,-0.39351,-22.1,-11.676,30.9
