,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_JC_RZ,syn_JC_RZ,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YBR255W,3.1355,4.9558,7.6425,2.9704,-0.83388,2.1282,0.33008,3.8286,0.34,-2.2769,-7.1,-7.1,-8.7,-11.6,-1.6094,-0.62545,-14.1,-6.9132,33.2
YPL144W,3.2581,4.9053,6.1026,4.2268,-0.061099,0.64185,2.7232,4.4387,0.29,-2.0047,-6.6,-6.6,-9.6,-7.9,-1.6094,-0.59227,-14.9,-8.3538,26.9
YBR135W,3.2958,5.3471,6.1159,4.4229,0.36122,2.4069,1.2757,5.1571,0.39,-2.0996,-6.5,-6.5,-2,-2.1,-1.6094,-0.35596,-24.8,-10.6,29.2
YBR160W,4.3567,4.5326,6.7991,4.2129,0.29425,2.6027,0.87552,5.7662,0.4,-1.9317,2.9,-5.3,-0.6,-6.4,0.18232,-0.57649,-14.2,-9.1929,31
YKL074C,3.1355,4.2905,7.3677,3.2921,-0.12328,0.91629,1.7588,4.1352,0.37,-2.3167,-6.1,-6.1,-6.8,-3,-1.6094,-0.58171,-15.1,-7.702,39
YKL029C,3.8067,4.7185,7.6059,5.1753,-0.032645,1.5892,2.3072,6.7938,0.44,-1.273,-10.3,-5.1,-7.2,-5.3,0.18232,-0.40418,-23.2,-10.128,27.8
YKL052C,2.9957,3.6889,6.7788,3.8104,-0.29353,1.2528,2.0609,4.4924,0.33,-1.1129,-1.7,-1.7,1.7,-2,-1.6094,-0.42322,-18.5,-9.1357,39.2
YHR025W,3.4012,4.3694,6.9791,5.6648,0.16617,3.2308,1.3457,6.8683,0.45,-2.7806,-5.9,-5.9,-7,-9.5,-1.6094,-0.40051,-22.1,-11.676,30.9
YIL062C,3.6109,4.2627,6.142,5.3725,0.49908,2.8507,1.5155,6.5949,0.34,-1.0744,-4.4,-6.1,1.3,-4.8,-1.6094,-0.58315,-18.2,-9.6929,29.7
YDR196C,2.3026,4.5109,6.5876,3.9644,-0.11046,2.6462,1.1234,4.5951,0.35,-1.8313,-11.8,-11.8,-6.5,-9.8,-1.6094,-0.61746,-16.2,-8.0522,34.4
YNR032W,4.654,4.8442,7.0094,3.6441,-0.61015,1.1939,1.546,3.9703,0.36,-2.2976,-6.5,-10.8,-5.6,0.7,-1.6094,-0.43905,-15.4,-9.7543,32.4
YML105C,3.2189,4.654,6.7117,4.648,0.35255,1.5476,2.4175,4.705,0.43,-2.3925,4.4,4.4,-5,5.4,-1.6094,-0.5932,-14.5,-8.1846,30.7
YNL288W,4.9488,4.9836,7.0229,3.9122,-0.12599,1.9459,0.55175,5.6824,0.35,-1.5037,-7.8,-8.1,-3.8,-1.9,0.18232,-0.49143,-21.2,-8.9611,36.5
YNR018W,3.912,4.8283,6.5147,5.1578,0.18453,2.2824,1.8614,5.0206,0.4,-1.1132,-3.5,-5,-5.8,-7.7,0.18232,-0.30178,-18.7,-9.2381,35.7
YFR047C,2.8332,4.3438,6.789,4.7195,0.13138,3.1905,1.313,5.3214,0.41,-2.1602,-7.6,-7.6,-5.6,-5.8,-1.6094,-0.43054,-26.4,-10.054,28.2
YLR300W,4.585,5.5053,7.2056,6.1927,-0.080332,0.99325,4.7537,3.989,0.48,0.28096,2.2,-2.8,-5,4.4,0.18232,-0.50642,-15.8,-8.6953,34.4
YBR043C,4.9972,4.654,7.6353,3.288,-1.5528,1.5892,1.4739,6.675,0.35,-1.6799,-5.1,-7.8,-5.9,-11.6,0.18232,-0.58887,-25.1,-9.3388,43.4
YLR011W,4.3438,5.6802,6.3561,2.9344,0.27646,1.4816,1.1301,4.4942,0.3,-2.183,-7,-7.5,-2.2,-4.1,-1.6094,-0.58171,-23.3,-10.322,41.3
YHR007C,4.9698,5.6419,7.3734,6.4557,-0.24513,1.7405,3.9315,6.6733,0.54,-0.79474,-8.1,-4,-3.3,0.4,0.18232,-0.53281,-15.8,-8.2788,78.5
YKR084C,3.5264,4.2047,7.5153,4.4621,-0.074721,2.6462,1.1903,5.273,0.38,-2.2907,-3,-9.2,-2.5,-9.1,-1.6094,-0.63115,-15.5,-8.0142,29.7
YCR046C,1.6094,4.6444,6.2344,4.607,-0.028348,1.8083,2.2684,4.9511,0.36,-1.6332,-20.1,-20.1,-12.3,-9,-1.6094,-0.11673,-17.2,-10.487,32.4
YOR266W,3.7377,4.2195,7.1483,2.8724,-0.59005,0.26236,2.3335,3.8286,0.31,-2.5145,-5.7,2.3,-2.9,3,-1.6094,-0.58594,-14.1,-7.3805,31.7
YNL229C,5.3706,5.4161,6.9707,4.1068,0.31999,1.6094,2.0985,5.5334,0.36,-1.6435,-6.4,-2.9,-10.4,-4.8,0.18232,-0.61306,-13.5,-7.3824,-1.8
YMR266W,2.3979,5.2257,7.9593,4.7698,-0.73985,1.8083,2.0885,5.7387,0.42,-2.221,-2.8,-2.8,-4.7,-5.2,-1.6094,-0.62531,-17.6,-7.9681,38.4
YPL089C,5.5452,4.7707,7.6163,3.0111,-0.76087,0.83291,2.5458,4.2413,0.36,-1.5493,-6,-4.1,-1.6,-5.7,0.18232,-0.5324,-16.1,-6.4629,26.2
YPR016C,4.5109,5.323,6.6039,5.6087,0.22421,1.6094,3.1374,6.9051,0.45,-1.1304,6.7,-7.3,-15.1,-2,0.78846,-0.69112,-19.6,-9.0696,55.7
YDL055C,4.9972,5.4931,6.9903,7.5119,0.25776,1.7579,4.2093,8.8645,0.59,0.019508,5,2.4,-2.7,-6.9,-1.6094,-0.49083,-17.1,-10.531,25.2
YFL044C,2.8904,5.3799,6.809,4.0268,0.004448,3.1527,0.48844,4.0775,0.42,-1.201,-8.3,-8.3,-7.4,-4.8,-1.6094,-0.39451,-16.6,-9.4621,26.5
YJL130C,6.3613,4.6052,8.8016,6.1871,-0.36541,3.4404,3.0346,7.8912,0.47,-1.8741,4.1,-7.9,-10.1,0.5,-1.6094,-0.6656,-24.1,-8.8168,30.7
YKL182W,5.7807,4.4427,8.7252,6.9602,-0.46789,3.5205,2.8427,8.1205,0.51,-0.33561,-3.7,-6.3,-5.5,-2.7,1.1632,-0.60063,-19.6,-9.1618,25.9
YKL135C,4.4308,4.3041,7.6875,4.1556,-0.52038,2.6319,0.80582,5.2131,0.38,-2.0589,-2.2,-7.8,-5.3,0.2,-1.6094,-0.63121,-16,-7.4676,36
YLR363C,3.7377,6.1291,6.4877,4.0048,0.017348,2.6603,0.30817,5.5997,0.42,-2.4962,-6.7,-2.3,-3.4,-4.3,-1.6094,-0.68602,-24.2,-7.305,43.1
YKR046C,2.0794,4.9628,6.7476,3.6579,-0.0088061,3.4904,2.2664,5.0773,0.44,-1.5736,-6,-6,-16.9,-4.6,-1.6094,-0.24522,-20.7,-11.685,29.1
YJR005W,3.7842,5.6699,7.6511,3.9104,-0.67922,2.0149,1.0593,4.7303,0.38,-2.1813,-9.3,-8.6,-5.2,-7.2,-1.6094,-0.59682,-16.6,-7.6451,31.4
YER030W,2.0794,4.7622,6.1356,5.1628,0.65961,3.0204,2.0116,5.6395,0.53,-1.5394,-3.4,-3.4,-4.2,-11.8,-1.6094,-0.67606,-9.5,-4.4357,25.5
YJR072C,3.4012,5.8551,7.0544,4.7899,0.16613,2.5572,1.1785,5.7214,0.41,-1.0756,-3.9,-3.9,-8.4,-6.7,-1.6094,-0.3427,-19.8,-9.1486,30.7
YDR047W,4.8203,4.3175,6.993,4.5311,-0.19694,1.5041,2.1178,5.0017,0.41,-0.87132,-3.8,-10.5,-7,1.5,1.1632,-0.46168,-23.5,-10.897,33.4
